date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:54	146149/146149	---M--	200	added ('OK')	image/jpeg	etag:%225d7ccad3-25900%22	https://colorlib.com/preview/theme/ronaldo/images/bg_1.jpg	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/images/bg_1.jpg	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:54	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ea82f55-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:55	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb13-41706%22	https://colorlib.com/preview/theme/ronaldo/js/jquery.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/jquery.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:55	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb10-2c9d%22	https://colorlib.com/preview/theme/ronaldo/js/jquery-migrate-3.0.1.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:55	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb16-4a58%22	https://colorlib.com/preview/theme/ronaldo/js/popper.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/popper.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:55	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb0f-e2d8%22	https://colorlib.com/preview/theme/ronaldo/js/bootstrap.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:55	3601/3601	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb11-1faf%22	https://colorlib.com/preview/theme/ronaldo/js/jquery.easing.1.3.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/jquery.easing.1.3.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:56	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb14-2283%22	https://colorlib.com/preview/theme/ronaldo/js/jquery.waypoints.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:56	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb14-3135%22	https://colorlib.com/preview/theme/ronaldo/js/jquery.stellar.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
21:47:56	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d7ccb15-a8e5%22	https://colorlib.com/preview/theme/ronaldo/js/owl.carousel.min.js	C:/Users/woosal/Desktop/Peronal%20Best/Personal%20Best/colorlib.com/preview/theme/ronaldo/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/ronaldo/)
